City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-04-27 22:23:46,-46.6,168.3333,284.71,78,93,3.05
1,Khatanga,RU,2022-04-27 22:20:27,71.9667,102.5,265.6,86,100,5.98
2,Albany,US,2022-04-27 22:23:46,42.6001,-73.9662,279.79,47,55,5.81
3,Haines Junction,CA,2022-04-27 22:23:47,60.7522,-137.5108,279.12,75,91,1.03
4,Bredasdorp,ZA,2022-04-27 22:23:47,-34.5322,20.0403,286.31,89,0,0.46
5,Umm Lajj,SA,2022-04-27 22:21:20,25.0213,37.2685,301.3,52,0,5.11
6,Nome,US,2022-04-27 22:20:43,64.5011,-165.4064,276.57,75,0,3.09
7,Longyearbyen,SJ,2022-04-27 22:22:02,78.2186,15.6401,256.06,51,40,5.66
8,Husavik,IS,2022-04-27 22:23:48,66.0449,-17.3389,276.44,86,90,0.65
9,Hofn,IS,2022-04-27 22:22:07,64.2539,-15.2082,278.5,83,100,2.42
10,Rikitea,PF,2022-04-27 22:22:00,-23.1203,-134.9692,298.02,74,16,10.84
11,Ushuaia,AR,2022-04-27 22:17:26,-54.8,-68.3,273.96,80,75,8.23
12,Puerto Ayora,EC,2022-04-27 22:23:49,-0.7393,-90.3518,298.13,80,36,3.62
13,New Norfolk,AU,2022-04-27 22:22:09,-42.7826,147.0587,287.55,88,98,0.87
14,Tazovskiy,RU,2022-04-27 22:23:50,67.4667,78.7,264.06,95,68,4.2
15,Yerbogachen,RU,2022-04-27 22:21:12,61.2767,108.0108,268.71,92,22,0.57
16,Lebu,CL,2022-04-27 22:23:51,-37.6167,-73.65,284.11,70,28,3.12
17,Vaini,TO,2022-04-27 22:20:03,-21.2,-175.2,300.24,54,40,4.12
18,Mataura,NZ,2022-04-27 22:22:05,-46.1927,168.8643,284.53,89,36,0.85
19,Port Elizabeth,ZA,2022-04-27 22:23:52,-33.918,25.5701,287.31,94,0,2.06
20,Airai,TL,2022-04-27 22:23:52,-8.9266,125.4092,288.4,91,16,0.8
21,Dikson,RU,2022-04-27 22:22:15,73.5069,80.5464,269.84,91,100,11.52
22,Hermanus,ZA,2022-04-27 22:19:48,-34.4187,19.2345,288.4,69,1,2.59
23,Coquimbo,CL,2022-04-27 22:21:41,-29.9533,-71.3436,290.0,77,0,4.12
24,Acarau,BR,2022-04-27 22:23:53,-2.8856,-40.12,299.56,81,92,4.54
25,Punta Arenas,CL,2022-04-27 22:22:04,-53.15,-70.9167,276.21,48,20,6.69
26,Ciro Marina,IT,2022-04-27 22:23:42,39.3732,17.126,289.2,65,5,4.04
27,Leningradskiy,RU,2022-04-27 22:23:54,69.3833,178.4167,269.09,88,100,4.98
28,Humberto De Campos,BR,2022-04-27 22:22:21,-2.5983,-43.4611,297.81,91,94,2.03
29,Busselton,AU,2022-04-27 22:22:12,-33.65,115.3333,288.72,82,78,6.28
30,Torbay,CA,2022-04-27 22:23:55,47.6666,-52.7314,278.86,89,75,3.09
31,Menongue,AO,2022-04-27 22:23:56,-14.6585,17.691,289.29,74,50,2.07
32,Katima Mulilo,NA,2022-04-27 22:23:56,-17.5,24.2667,292.35,73,33,1.7
33,Guerrero Negro,MX,2022-04-27 22:20:38,27.9769,-114.0611,294.01,55,0,8.29
34,Hasaki,JP,2022-04-27 22:23:09,35.7333,140.8333,288.37,47,100,10.58
35,Chokurdakh,RU,2022-04-27 22:23:57,70.6333,147.9167,262.75,94,99,3.27
36,Hobart,AU,2022-04-27 22:17:30,-42.8794,147.3294,287.74,95,40,3.09
37,Giddalur,IN,2022-04-27 22:23:58,15.35,78.9167,300.21,60,9,0.86
38,Mut,TR,2022-04-27 22:23:58,36.6439,33.4389,290.43,31,82,0.84
39,Nikolskoye,RU,2022-04-27 22:23:59,59.7035,30.7861,274.19,82,32,1.69
40,North Bend,US,2022-04-27 22:23:59,43.4065,-124.2243,287.17,75,0,5.14
41,Aktau,KZ,2022-04-27 22:24:00,43.65,51.2,293.47,41,76,4.3
42,Tasiilaq,GL,2022-04-27 22:21:58,65.6145,-37.6368,274.24,84,99,2.6
43,Saint-Joseph,RE,2022-04-27 22:24:00,-21.3667,55.6167,295.36,79,28,0.82
44,Tuatapere,NZ,2022-04-27 22:24:01,-46.1333,167.6833,283.45,81,50,1.27
45,Arraial Do Cabo,BR,2022-04-27 22:22:08,-22.9661,-42.0278,299.07,78,0,5.14
46,Barrow,US,2022-04-27 22:19:45,71.2906,-156.7887,259.16,78,100,6.17
47,Soe,ID,2022-04-27 22:24:02,-9.8607,124.284,290.86,87,37,1.12
48,Celestun,MX,2022-04-27 22:25:03,20.8667,-90.4,300.21,69,87,8.2
49,Hit,IQ,2022-04-27 22:20:13,33.6416,42.8251,296.74,42,5,1.73
50,Jamestown,US,2022-04-27 22:25:03,42.097,-79.2353,272.6,69,100,5.36
51,Aleppo,SY,2022-04-27 22:25:04,36.25,37.5,294.06,23,72,2.96
52,Chuy,UY,2022-04-27 22:25:05,-33.6971,-53.4616,288.86,88,94,2.74
53,Ierapetra,GR,2022-04-27 22:25:05,35.01,25.7353,291.56,60,0,1.34
54,Victoria,HK,2022-04-27 22:23:35,22.2855,114.1577,302.14,87,47,4.47
55,Kapaa,US,2022-04-27 22:20:16,22.0752,-159.319,301.14,82,0,6.17
56,Avarua,CK,2022-04-27 22:21:59,-21.2078,-159.775,302.18,79,20,5.14
57,Faanui,PF,2022-04-27 22:25:06,-16.4833,-151.75,300.41,76,14,9.37
58,Bud,US,2022-04-27 22:25:07,39.447,-86.1758,291.75,45,25,3.57
59,Kangaatsiaq,GL,2022-04-27 22:25:07,68.3065,-53.4641,272.92,97,100,3.03
60,Lethem,GY,2022-04-27 22:25:08,3.3803,-59.7968,302.07,64,91,1.28
61,Zaruma,EC,2022-04-27 22:25:08,-3.6833,-79.6167,293.12,90,91,1.69
62,Pevek,RU,2022-04-27 22:25:09,69.7008,170.3133,274.47,74,100,7.92
63,Severo-Kurilsk,RU,2022-04-27 22:25:09,50.6789,156.125,275.25,84,28,9.22
64,Vila Velha,BR,2022-04-27 22:20:37,-20.3297,-40.2925,299.23,85,0,3.09
65,Chulym,RU,2022-04-27 22:25:10,55.0997,80.9572,281.35,57,71,3.31
66,Yanam,IN,2022-04-27 22:24:01,16.7333,82.2167,298.33,96,7,1.2
67,Mar Del Plata,AR,2022-04-27 22:20:35,-38.0023,-57.5575,288.64,56,0,3.6
68,Tevaitoa,PF,2022-04-27 22:25:11,-16.7833,-151.5,300.34,76,20,9.56
69,Salina,US,2022-04-27 22:20:13,38.8403,-97.6114,300.38,47,20,9.26
70,Sabinopolis,BR,2022-04-27 22:25:12,-18.6661,-43.0839,290.77,81,0,1.03
71,La Ronge,CA,2022-04-27 22:25:12,55.1001,-105.2842,280.29,45,100,6.17
72,Mabaruma,GY,2022-04-27 22:25:13,8.2,-59.7833,297.22,97,100,1.42
73,Jiwani,PK,2022-04-27 22:25:13,25.05,61.7417,302.1,70,54,6.95
74,Laguna,US,2022-04-27 22:25:14,38.421,-121.4238,297.83,34,0,4.12
75,Sao Filipe,CV,2022-04-27 22:22:14,14.8961,-24.4956,295.62,69,3,5.52
76,Pisco,PE,2022-04-27 22:25:15,-13.7,-76.2167,292.6,82,0,7.72
77,Vila,PT,2022-04-27 22:25:15,42.0304,-8.1588,280.64,92,7,0.17
78,Castro,BR,2022-04-27 22:25:15,-24.7911,-50.0119,291.9,81,10,2.02
