hotel_df,City,Country,Max Temp,Lat,Lng,Hotel Name
5,Umm Lajj,SA,82.94000000000003,25.0213,37.2685,Moon light Furnished Units
10,Rikitea,PF,77.03599999999997,-23.1203,-134.9692,People ThankYou
12,Puerto Ayora,EC,77.234,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Vaini,TO,81.03200000000001,-21.2,-175.2,Keleti Beach Resort
24,Acarau,BR,79.808,-2.8856,-40.12,castelo pizzaria
28,Humberto De Campos,BR,76.65800000000002,-2.5983,-43.4611,Pousada do Cabeça
37,Giddalur,IN,80.97799999999997,15.35,78.9167,Shivaji Lodge
45,Arraial Do Cabo,BR,78.92599999999999,-22.9661,-42.0278,Pousada Porto Praia
48,Celestun,MX,80.97799999999997,20.8667,-90.4,Posada Lilia
54,Victoria,HK,84.45199999999997,22.2855,114.1577,Mini Hotel Central
55,Kapaa,US,82.65199999999999,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Avarua,CK,84.52400000000002,-21.2078,-159.775,Paradise Inn
57,Faanui,PF,81.33800000000005,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
60,Lethem,GY,84.326,3.3803,-59.7968,Savannah Inn
64,Vila Velha,BR,79.21400000000003,-20.3297,-40.2925,Hotel Vitória Palace
66,Yanam,IN,77.59399999999997,16.7333,82.2167,The Regency Hotel
68,Tevaitoa,PF,81.21199999999996,-16.7833,-151.5,Hôtel Raiatea Lodge
69,Salina,US,81.28399999999999,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
72,Mabaruma,GY,75.59600000000006,8.2,-59.7833,Monty Brooms Guest House
73,Jiwani,PK,84.38000000000005,25.05,61.7417,Al Mumtaz Transport Jiwani
74,Laguna,US,76.69399999999997,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
79,Georgetown,MY,84.21799999999999,5.4112,100.3354,Cititel Penang
80,Chimore,BO,78.40399999999995,-16.9833,-65.1333,Bichito
81,Atuona,PF,78.92599999999999,-9.8,-139.0333,Villa Enata
84,Kokopo,PG,81.33800000000005,-4.352,152.2633,Kokopo Beach Bungalow Resort
89,Hilo,US,86.558,19.7297,-155.09,Hilo Hawaiian Hotel
96,Isangel,VU,79.23200000000003,-19.55,169.2667,Tanna Lodge
97,Santa Isabel Do Rio Negro,BR,81.62599999999999,-0.4139,-65.0192,Hotel GSA
102,Nabire,ID,76.55000000000001,-3.3667,135.4833,Hotel Nusantara I
103,El Obraje,HN,82.21999999999997,14.0,-86.4333,Mack Führer
104,San Cristobal,VE,75.65,7.7669,-72.225,Pirineos
108,Abu Dhabi,AE,84.57799999999997,24.4667,54.3667,Beach Rotana
110,Hithadhoo,MV,83.93000000000004,-0.6,73.0833,Scoop Guest House
112,Cabedelo,BR,79.73599999999996,-6.9811,-34.8339,Hotel Pigalle
114,Fomboni,KM,82.058,-12.28,43.7425,Auberge les abou
122,Bambanglipuro,ID,76.76600000000002,-7.95,110.2833,Puri Brata
129,Biak,ID,76.26199999999996,-0.9131,122.8766,Penginapan Kim
131,Eyl,SO,81.98599999999996,7.9803,49.8164,Amiin Hotel
132,Lazaro Cardenas,MX,86.50399999999996,17.9583,-102.2,HOTEL QUINTA ANTIGUA
139,Kavaratti,IN,83.84000000000003,10.5669,72.642,Hotels in Lakshadweep Islands
145,Conceicao Do Araguaia,BR,81.66199999999995,-8.2578,-49.2647,Tarumã Tropical Hotel
147,Kant,IN,85.26199999999996,27.8,79.8,Haseeb Khan shatreng
152,Salalah,OM,82.75999999999999,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
153,Karratha,AU,78.08000000000004,-20.7377,116.8463,ibis Styles Karratha
157,Manaus,BR,81.35600000000002,-3.1019,-60.025,Manaus Hotéis Millennium
158,Jaciara,BR,75.90199999999999,-15.9653,-54.9683,Taba Hotel
159,Kudahuvadhoo,MV,84.01999999999995,2.6708,72.8944,Niyama Private Islands Maldives
164,Hambantota,LK,81.40999999999998,6.1241,81.1185,Bungalow 63
167,Quelimane,MZ,75.41600000000001,-17.8786,36.8883,Hotel Flamingo
168,Camocim,BR,79.26799999999999,-2.9022,-40.8411,Ilha Praia Hotel
169,Cockburn Town,TC,79.03399999999999,21.4612,-71.1419,Osprey Beach Hotel
170,Morant Bay,JM,78.69200000000001,17.8815,-76.4093,Whispering Bamboo Cove Resort
171,Kismayo,SO,81.35600000000002,-0.3582,42.5454,Agan-Hotel
173,Bataipora,BR,78.35,-22.2953,-53.2711,Hotel Vale do Ivinhema
174,Nanakuli,US,82.61600000000001,21.3906,-158.1547,Camp Pālehua
177,Andros Town,BS,80.834,24.7,-77.7667,Hanks place
178,Hirara,JP,79.34000000000003,24.8,125.2833,Hotel Atoll Emerald Miyakojima
179,Manaure,CO,83.75,11.7751,-72.4445,Hotel Palaaima
183,Saint George,US,88.89800000000002,37.1041,-113.5841,Best Western Plus Abbey Inn
185,Kutum,SD,81.10399999999996,14.2,24.6667,Dibbo areaمنطقة دبو
186,Port Hedland,AU,77.32400000000001,-20.3167,118.5667,The Esplanade Hotel
187,Axim,GH,80.816,4.8699,-2.2405,Axim Beach Resort And Spa
197,San Ramon De La Nueva Oran,AR,81.608,-23.1322,-64.326,Hotel Residencial Centro
199,Maceio,BR,80.31199999999995,-9.6658,-35.7353,Hotel Ponta Verde Maceió
200,Lucea,JM,82.52599999999998,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
205,Butaritari,KI,81.46400000000003,3.0707,172.7902,Isles Sunset Lodge
206,Honiara,SB,83.084,-9.4333,159.95,Heritage Park Hotel
209,Mahibadhoo,MV,84.18200000000002,3.7833,72.9667,Omadhoo Inn
211,The Valley,AI,78.09800000000003,18.217,-63.0578,CeBlue Villas & Beach Resort
213,Manggar,ID,79.91600000000001,-2.8833,108.2667,Guest Hotel
215,Doka,SD,89.79800000000003,13.5167,35.7667,Um Rakuba Refugee Camp
217,Pangai,TO,80.97799999999997,-19.8,-174.35,Ha'apai Beach Resort
