hotel_df,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Bluff,NZ,53.07799999999996,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
4,Bredasdorp,ZA,55.958000000000006,-34.5322,20.0403,Bredasdorp Country Manor
5,Umm Lajj,SA,82.94000000000003,25.0213,37.2685,Moon light Furnished Units
10,Rikitea,PF,77.03599999999997,-23.1203,-134.9692,People ThankYou
12,Puerto Ayora,EC,77.234,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,New Norfolk,AU,58.190000000000026,-42.7826,147.0587,The Shingles Riverside Cottages
16,Lebu,CL,51.998000000000026,-37.6167,-73.65,Hostal Las Lilas
17,Vaini,TO,81.03200000000001,-21.2,-175.2,Keleti Beach Resort
18,Mataura,NZ,52.75399999999995,-46.1927,168.8643,Ellie's Villa
19,Port Elizabeth,ZA,57.75800000000001,-33.918,25.5701,39 On Nile Guest House
22,Hermanus,ZA,59.719999999999956,-34.4187,19.2345,Misty Waves Boutique Hotel
23,Coquimbo,CL,62.6,-29.9533,-71.3436,Hotel San Juan
24,Acarau,BR,79.808,-2.8856,-40.12,castelo pizzaria
26,Ciro Marina,IT,61.15999999999998,39.3732,17.126,Hotel Miramare
28,Humberto De Campos,BR,76.65800000000002,-2.5983,-43.4611,Pousada do Cabeça
29,Busselton,AU,60.29600000000005,-33.65,115.3333,Observatory Guest House
31,Menongue,AO,61.32200000000004,-14.6585,17.691,Ritz Lauca
33,Guerrero Negro,MX,69.81799999999998,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
34,Hasaki,JP,59.66600000000001,35.7333,140.8333,Inubosaki Kanko Hotel
36,Hobart,AU,58.53200000000002,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
37,Giddalur,IN,80.97799999999997,15.35,78.9167,Shivaji Lodge
38,Mut,TR,63.37400000000001,36.6439,33.4389,Konak Otel
40,North Bend,US,57.50600000000003,43.4065,-124.2243,Red Lion Hotel Coos Bay
41,Aktau,KZ,68.84600000000006,43.65,51.2,Silk Way Hotel
43,Saint-Joseph,RE,72.24800000000002,-21.3667,55.6167,"""Plantation Bed and Breakfast"
44,Tuatapere,NZ,50.80999999999998,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
45,Arraial Do Cabo,BR,78.92599999999999,-22.9661,-42.0278,Pousada Porto Praia
47,Soe,ID,64.14800000000002,-9.8607,124.284,Dena Hotel
48,Celestun,MX,80.97799999999997,20.8667,-90.4,Posada Lilia
49,Hit,IQ,74.73200000000003,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
51,Aleppo,SY,69.90800000000002,36.25,37.5,أمل دوريش
52,Chuy,UY,60.54800000000003,-33.6971,-53.4616,Nuevo Hotel Plaza
53,Ierapetra,GR,65.40800000000002,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
54,Victoria,HK,84.45199999999997,22.2855,114.1577,Mini Hotel Central
55,Kapaa,US,82.65199999999999,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Avarua,CK,84.52400000000002,-21.2078,-159.775,Paradise Inn
57,Faanui,PF,81.33800000000005,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
58,Bud,US,65.75,39.447,-86.1758,Ted McQuinn Trust
60,Lethem,GY,84.326,3.3803,-59.7968,Savannah Inn
61,Zaruma,EC,68.21600000000001,-3.6833,-79.6167,Hotel Zaruma Colonial
64,Vila Velha,BR,79.21400000000003,-20.3297,-40.2925,Hotel Vitória Palace
66,Yanam,IN,77.59399999999997,16.7333,82.2167,The Regency Hotel
67,Mar Del Plata,AR,60.15199999999997,-38.0023,-57.5575,Gran Hotel Mar del Plata
